MOUSE ID,GGW079,GGW086,GGW087,GGW076,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GGW078,GGW092,GGW102,GGW075,GGW098,GGW103
SEX,M,M,M,F,M,M,M,M,M,M,F,F,F,M,M,M,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GGW,GGW,GGW,GGW,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GGW,GGW,GGW,GGW,GGW,GGW
Parents pair,"19,20","19,20","19,20",18,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","19,20","21,22",18,18,"21,22",18
Litter,1,3,3,1,7,6,2,4,5,7,11,11,11,1,1,2,1,1,2
CorticalSubplate_BLAa,79.8351389,77.3590301,62.55368686,74.53774525,88.48136084,80.12431446,79.93126979,73.58314819,81.99603606,79.03658641,76.3471901,79.7967821,84.58617449,92.20257717,96.86527949,101.2326728,97.3664642,97.20048269,98.07237949
CorticalSubplate_BLAp,,70.71375,66.35206472,,92.92120948,,82.4363337,78.07882487,,,82.16365311,82.82914754,,76.78456032,,,81.75374122,,
CorticalSubplate_BLAv,,76.13453601,77.19919359,,90.29236278,,81.32307559,75.1566313,,,81.99928066,76.33244071,,80.11617064,,,82.29847478,,82.82375
CorticalSubplate_BMAa,59.82349486,,,62.86189589,,61.39955233,,,63.70536603,68.55125,,,67.44854287,,73.645219,87.24089643,,83.35354413,87.4515
CorticalSubplate_BMAp,64.86399796,68.7807561,65.78590726,63.25802361,85.56819641,64.31127342,79.68560511,69.24233514,70.97036642,75.47125,79.32417622,66.19731034,69.61815151,92.95386608,80.96797948,86.22480734,92.6000963,83.48211973,83.40974506
CorticalSubplate_EPd,74.85456435,69.51702089,54.89856871,70.72325433,86.32788034,76.22495613,76.5190589,70.9904323,80.04504772,73.0209306,72.53233182,78.44160463,82.3288511,85.92478814,97.17094561,95.68220316,95.77632287,87.2415858,94.29480217
CorticalSubplate_EPv,65.91622175,60.42065469,58.07218406,63.23872023,84.54665314,66.53735243,76.86629427,67.5980552,72.66286954,80.66125,73.99253837,76.90362823,74.30108724,88.53911981,81.2235,83.06139632,96.70619716,81.30645795,89.25257726
CorticalSubplate_LA,81.52663655,79.13932036,75.95664287,77.23592062,93.8256985,80.75050481,84.75440645,80.53270613,86.79242343,81.36453785,84.20975244,90.10616331,86.41366358,98.82914916,100.4806516,103.3116338,104.8134399,101.4980845,99.42673087
FibreTracts_alv,1.820772538,0.314381457,0.12184097,4.981350233,1.191895274,0.514134069,1.046594146,0.722576422,3.507400191,1.822640036,1.27329097,1.406885666,0.962532332,2.704046762,1.396038032,1.08125,3.779328304,0.834474785,1.73
FibreTracts_amc,52.81351347,43.55253809,26.48311724,45.7467878,71.23868384,53.06284711,55.94253344,47.28278269,55.22976299,49.4267916,47.94112938,60.75372843,59.53242883,52.37839707,50.73917906,52.95215663,65.18380255,49.16699541,57.90061095
FibreTracts_cc,2.595,0.858687794,0.43050794,1.393046093,2.375161661,1.502042304,1.950987221,0.758185368,1.41187909,1.94625,1.302287088,1.838643845,1.84572638,2.821568256,2.152791192,2.255965068,2.487680212,1.944897053,2.483511329
FibreTracts_cing,12.68289509,2.745485943,1.410232178,8.390370257,11.62562875,6.826162575,6.569030752,4.97375,23.64534649,11.9819624,10.06461972,15.0324663,8.36683357,15.30332518,14.23587742,14.43488511,12.13096646,12.15032383,16.4659975
FibreTracts_cpd,,0,0,,0.4325,,0.32812062,0,,,0.21625,0.311892747,,0.21625,,,0.319865708,,
FibreTracts_df,0.121703576,0,0,0,0.31549364,0.114517433,0.328396178,0,0.091227052,0.112903711,0.295075787,0.21625,0.4325,0.333089671,0,0.21625,0.21625,0.109875481,0.11253468
FibreTracts_fi,0,0,0,0,0.21625,0,0,0,0.111959359,0,0,0,0,0.21625,0,0,0,0,0.10726356
FibreTracts_int,0.21625,0,0,0.101692355,0.21625,0.21625,0.21625,0,0.105814997,0.099244483,0.21625,0.397940733,0.4325,0.21625,0.101982371,0.21625,0.110021027,0.21625,0.21625
FibreTracts_opt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110614177
FibreTracts_stInf,6.364291667,1.677591595,2.880925331,3.18811008,5.053536359,3.095117912,6.750012473,0.538432342,6.790639878,11.8061922,8.947532403,7.90032206,21.6241185,5.508856039,8.725901475,13.20789571,0.528301968,2.94931653,21.98743456
FibreTracts_stSup,0.540126977,0.088481142,0,0.104028667,0.4325,0.423917258,0.323159985,0.106480045,0.21625,0.108641558,0.281797901,0.661577404,0,0.307210069,0.335992792,0.432058656,0.21625,0.21625,0.618050362
Hippocampus_CA1slm,104.5020104,88.49293074,84.61014722,90.31126683,108.847684,98.7275868,95.58410816,89.53620461,111.6385003,106.0147416,100.583471,105.6835122,104.6556172,126.6603145,125.5949524,135.8576655,132.787149,123.244494,131.2856375
Hippocampus_CA1so,125.1844367,117.716003,111.395349,113.4556206,135.4233401,119.7184,123.0505756,116.7174683,135.8801803,130.7740738,123.5470817,127.190595,124.5979201,159.0456717,154.0993561,163.1068558,162.7151796,150.9783443,156.4116101
Hippocampus_CA1sp,43.06008697,32.11898867,24.64661368,31.30811055,49.57982033,28.56521135,38.85738027,29.98174061,41.63768744,40.88468027,41.3011607,42.59317823,36.73721197,60.52717031,42.04956871,51.41575136,52.69852413,46.35690944,51.05224815
Hippocampus_CA1sr,118.0877324,114.1843565,108.4251799,110.2529094,127.7431811,114.8796462,115.9371627,110.2056434,127.0544304,122.6024121,118.7483786,122.3011365,117.2671512,127.8556356,121.8409904,128.8694915,127.5847154,121.9719796,124.8762223
Hippocampus_CA2slm,98.72795099,79.4986572,56.0064729,84.03860766,106.0671289,83.66368612,98.32959662,79.96477967,112.6681837,100.3340388,90.70170623,102.1046488,93.96845367,124.4720533,121.5459677,136.5339072,128.8229392,120.1685893,128.557444
Hippocampus_CA2so,96.00746754,87.12034941,64.97294856,83.41417797,99.55175699,77.02855417,98.91898279,78.77845413,109.0404114,100.7300041,83.1732532,93.41892611,87.38963145,124.7005392,122.653861,133.7199477,130.13925,126.4996373,129.5447716
Hippocampus_CA2sp,16.60815733,5.996214916,3.0275,4.10875,13.74867165,5.349375,19.2463214,4.968493855,20.06482147,12.36799319,7.890531158,13.2946733,8.529474154,31.15756592,9.726484336,9.069636169,16.65149568,9.478803872,16.47777111
Hippocampus_CA2sr,86.38016384,63.83548013,33.19584933,65.21979685,93.26709557,56.57231195,88.91742631,55.47060074,99.07941601,82.64251596,74.97339463,80.77917084,71.72846682,115.5023535,107.8079495,121.9150141,122.670234,110.9387821,111.7453839
Hippocampus_CA3slm,98.72683941,82.46886067,54.48900207,89.97794258,112.0530436,77.085302,101.2992781,77.3818544,110.2738766,98.2662485,94.00396284,99.31052406,95.6294642,136.7549141,129.7956291,142.0368469,144.1985772,132.9539538,138.9460899
Hippocampus_CA3slu,50.27933097,37.90531776,30.33997864,35.00787997,48.86701639,41.8454096,47.07358571,37.74045702,59.4356809,50.85125527,45.59966383,41.81854804,43.79551783,60.84392754,56.43799289,64.41304618,65.20528126,58.86871583,59.32794089
Hippocampus_CA3so,80.36375809,56.08937248,40.56658675,65.74296813,91.90681234,58.24257338,82.74101127,56.39324131,84.82525971,82.90155946,66.66468805,71.74188962,71.33560514,114.8082076,111.3529759,120.912556,117.3749236,115.8822825,122.4128986
Hippocampus_CA3sp,26.71013595,13.35216455,7.777936708,17.47779934,22.27089016,13.85628391,22.77347172,11.40365276,27.41184635,23.68948871,19.66042196,16.17048663,19.45015653,34.60293604,22.61596186,29.4719949,25.41615828,27.50920947,35.96720841
Hippocampus_CA3sr,88.93614851,72.10340249,54.12549904,81.5673437,100.0385839,69.84038067,93.60497415,70.9838476,93.20375,89.69658411,86.56821269,87.1702466,84.60560691,130.1111925,121.6440386,129.855634,133.7783454,125.1015173,130.2322038
Hippocampus_DGgrInf,12.53170873,2.269391549,2.536276312,2.80182165,15.35997367,3.937907818,11.69573806,2.947849162,5.078772906,6.4875,10.0790045,8.196947338,8.2175,23.48438046,4.734886737,6.240681279,12.27483437,6.733818855,11.64289785
Hippocampus_DGgrSup,16.81201298,2.38735401,1.477186368,3.875387786,14.37701953,4.4339984,11.85761567,2.372441831,6.801962534,6.690903195,8.913407094,7.890741114,7.446760409,18.61546251,3.761382406,6.629138688,9.311634691,8.755424209,11.09118329
Hippocampus_DGmoInf,123.5011417,110.7190611,106.0162066,112.1934695,140.1228863,122.2907418,125.1476222,116.2075089,129.3293798,126.5843472,123.0548041,122.8870735,121.5435234,159.0749447,146.7190401,157.2784937,159.3841297,145.2760968,160.101768
Hippocampus_DGmoSup,121.4604598,107.6345433,103.7770384,108.5816119,134.0933471,116.8739674,123.7900039,110.3361746,131.3205055,127.0089141,122.4439274,123.5130513,120.2630211,156.6109861,144.0621965,156.1472403,154.3713149,145.8962063,154.7906144
Hippocampus_DGpo,40.62028987,22.04168772,17.54683548,25.57463902,47.05322937,27.48150244,38.62825361,23.86855077,44.64125323,27.90490716,34.20336235,31.875378,31.00267446,55.36578306,41.91735225,46.17992265,49.99675236,42.70589551,45.21909166
Hippocampus_FC1,27.93374349,11.01124451,,18.67994904,61.99868363,6.261438981,23.51087399,27.40687766,46.11419442,26.69776623,30.086993,33.42308676,38.32293542,69.58342974,16.66480488,18.25351163,23.74790436,16.4869,31.81734459
Hippocampus_FC2,17.01352078,3.0376232,0.973125,3.755219331,49.30657152,28.29907484,13.53767247,3.999477933,43.66553173,53.54322032,27.7061432,37.89606628,20.39690046,49.32204476,20.3071595,33.92645475,43.04882981,13.99965904,63.30688779
Hippocampus_FC3,91.12950065,33.93792725,17.18218458,52.93792225,89.56293308,74.31717861,75.10629538,44.74388235,91.47375,57.17749337,81.12515098,82.89065443,91.79109674,116.5290587,93.84241426,112.5010779,115.753879,97.84763613,115.8797658
HypothalamusAll_Hypothalamus,22.28043173,12.09192689,5.3138752,15.4957275,33.06299674,16.87958095,21.68207604,10.46996314,21.03691412,19.02623026,18.05558435,12.51138718,24.2046199,26.19394388,18.28658859,21.54595782,20.36745438,25.5915076,37.17111446
Neocortex_AUDd,83.12273558,81.55788754,76.12620356,79.46887364,84.23991851,84.57528728,79.69123862,78.9800454,91.47375,86.64366671,81.56408981,83.84702378,85.1291382,97.53399466,102.8869013,105.3245627,106.1286276,98.03535246,98.93523499
