MOUSE ID,GGW079,GGW086,GGW087,GGW076,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GHB26,GHB47,GHB82,GHB29,GHB30,GHB33,GHB64,GHB76,GHB77,GHB79,GHB81
SEX,M,M,M,F,M,M,M,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GGW,GGW,GGW,GGW,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB
Parents pair,"19,20","19,20","19,20",18,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","13,14","11,12","19,20","13,14","13,14","13,14","19,20","19,20","19,20",21,21
Litter,1,3,3,1,7,6,2,4,5,7,11,11,11,2,11,7,2,2,2,2,5,5,2,2
CorticalSubplate_BLAa,79.8351389,77.3590301,62.55368686,74.53774525,88.48136084,80.12431446,79.93126979,73.58314819,81.99603606,79.03658641,76.3471901,79.7967821,84.58617449,107.2999593,102.7942744,100.5621102,97.8315,88.25178653,86.04993381,80.43614823,104.3473239,98.7677406,101.6747775,104.2110294
CorticalSubplate_BLAp,,70.71375,66.35206472,,92.92120948,,82.4363337,78.07882487,,,82.16365311,82.82914754,,113.2590942,104.2054329,,99.9075,90.04604039,87.20598637,73.01995951,106.56731,,104.18076,106.3826128
CorticalSubplate_BLAv,,76.13453601,77.19919359,,90.29236278,,81.32307559,75.1566313,,,81.99928066,76.33244071,,114.5959975,105.22725,100.014295,100.167,86.93865531,90.07560905,74.79086348,104.1529196,,103.0924443,105.1691091
CorticalSubplate_BMAa,59.82349486,,,62.86189589,,61.39955233,,,63.70536603,68.55125,,,67.44854287,,,,,,,,,58.08074106,,
CorticalSubplate_BMAp,64.86399796,68.7807561,65.78590726,63.25802361,85.56819641,64.31127342,79.68560511,69.24233514,70.97036642,75.47125,79.32417622,66.19731034,69.61815151,93.44460893,85.21096692,74.07514018,66.85729167,64.90089835,61.10524658,66.63104104,82.10937942,57.48673755,71.50042776,85.00123271
CorticalSubplate_EPd,74.85456435,69.51702089,54.89856871,70.72325433,86.32788034,76.22495613,76.5190589,70.9904323,80.04504772,73.0209306,72.53233182,78.44160463,82.3288511,70.90548964,58.31391396,61.73588641,62.171875,62.81456354,50.25306618,46.55936625,65.41170232,59.04214053,62.37791004,65.35796777
CorticalSubplate_EPv,65.91622175,60.42065469,58.07218406,63.23872023,84.54665314,66.53735243,76.86629427,67.5980552,72.66286954,80.66125,73.99253837,76.90362823,74.30108724,89.96730006,71.186633,79.45574429,59.28854167,60.87105783,59.83391225,54.53900366,78.8515181,61.48411029,75.5310658,78.30360583
CorticalSubplate_LA,81.52663655,79.13932036,75.95664287,77.23592062,93.8256985,80.75050481,84.75440645,80.53270613,86.79242343,81.36453785,84.20975244,90.10616331,86.41366358,115.7667735,108.2817764,100.1742276,101.9835,90.92346538,94.84476202,85.07509724,107.3631788,97.28309309,104.5289814,110.0436767
FibreTracts_alv,1.820772538,0.314381457,0.12184097,4.981350233,1.191895274,0.514134069,1.046594146,0.722576422,3.507400191,1.822640036,1.27329097,1.406885666,0.962532332,2.573238268,1.118525118,1.060156613,0.676266757,1.409164177,0.64875,0.121135494,2.134371388,0.964308505,1.621654582,0.416239415
FibreTracts_amc,52.81351347,43.55253809,26.48311724,45.7467878,71.23868384,53.06284711,55.94253344,47.28278269,55.22976299,49.4267916,47.94112938,60.75372843,59.53242883,74.74264978,51.86541687,53.82867784,52.82510669,54.67220288,39.07573291,44.16984095,58.15069832,48.91511365,58.06768621,53.78080252
FibreTracts_cc,2.595,0.858687794,0.43050794,1.393046093,2.375161661,1.502042304,1.950987221,0.758185368,1.41187909,1.94625,1.302287088,1.838643845,1.84572638,2.684933511,1.733348371,3.132798653,1.591101913,2.599820256,2.595,0.744460676,3.390426462,1.769784269,3.559154378,2.264788046
FibreTracts_cing,12.68289509,2.745485943,1.410232178,8.390370257,11.62562875,6.826162575,6.569030752,4.97375,23.64534649,11.9819624,10.06461972,15.0324663,8.36683357,10.55351685,8.069609104,11.71208204,6.626514177,11.40336942,7.807170045,3.521497966,11.60660906,5.747238738,12.39127373,4.161544054
FibreTracts_cpd,,0,0,,0.4325,,0.32812062,0,,,0.21625,0.311892747,,0.4325,0.327304299,,0.320545591,0.262976925,0,0,0.4325,,,0.329613911
FibreTracts_df,0.121703576,0,0,0,0.31549364,0.114517433,0.328396178,0,0.091227052,0.112903711,0.295075787,0.21625,0.4325,0.100379289,0.21625,0.304553537,0.333855604,0.324917023,0.21625,0,0.099991901,0,0.112846263,0
FibreTracts_fi,0,0,0,0,0.21625,0,0,0,0.111959359,0,0,0,0,0,0,0,0,0.104580107,0,0,0,0,0,0
FibreTracts_int,0.21625,0,0,0.101692355,0.21625,0.21625,0.21625,0,0.105814997,0.099244483,0.21625,0.397940733,0.4325,0.21625,0.101789056,0.115482356,0.099914431,0.21625,0,0,0.21625,0.322219439,0.21625,0.126136631
