MOUSE ID,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GGW079,GGW086,GGW087,GGW076,GGW078,GGW092,GGW102,GGW075,GGW098,GGW103
SEX,M,M,M,M,M,M,F,F,F,M,M,M,F,M,M,M,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW
Parents pair,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","19,20","19,20","19,20",18,"19,20","21,22",18,18,"21,22",18
Litter,7,6,2,4,5,7,11,11,11,1,3,3,1,1,1,2,1,1,2
main_CorticalSubplate,89.31125,71.795,80.445,74.39,76.33625,76.5525,79.79625,79.1475,77.20125,72.44375,73.74125,68.55125,68.335,87.9705,89.0085,92.1225,92.382,88.749,90.825
main_FibreTracts,0.64875,0.4325,0.4325,0.21625,0.4325,0.21625,0.4325,0.4325,0.64875,0.4325,0,0,0.21625,0.64875,0.21625,0.4325,0.4325,0.21625,0.64875
main_Hippocampus,108.125,96.4475,97.52875,88.6625,113.7475,103.8,97.3125,105.31375,94.50125,97.52875,87.58125,76.5525,88.23,125.3385,120.235,128.9715,128.23625,120.083625,126.636
main_Hypothalamus,32.87,16.8675,21.84125,10.38,20.97625,19.03,17.94875,12.5425,23.7875,22.0575,11.89375,5.40625,15.35375,25.95,18.165,21.279,20.241,25.1715,37.1085
main_Neocortex,84.55375,82.6075,80.8775,78.93125,90.17625,85.2025,82.39125,85.41875,83.68875,83.68875,79.58,75.6875,80.445,97.3125,102.5025,106.1355,104.319,99.3885,100.686
main_OlfactoryAreas,91.90625,79.1475,80.22875,72.44375,78.49875,82.39125,85.635,78.93125,81.52625,76.33625,78.06625,73.525,77.20125,89.268,89.0085,81.45416667,91.344,95.2365,94.7175
main_Pallidum,19.03,6.70375,7.13625,1.94625,6.055,5.946875,5.40625,7.13625,7.785,8.65,4.97375,,5.40625,20.76,5.709,8.5635,8.5635,8.0445,11.1585
main_Striatum,71.795,60.9825,63.36125,57.30625,66.82125,61.415,65.3075,62.06375,67.0375,64.22625,60.55,50.061875,62.28,80.1855,79.926,80.7045,80.7045,79.926,81.7425
main_Thalamus,65.52375,31.78875,50.17,24.00375,56.225,53.84625,47.79125,46.92625,48.0075,57.5225,30.05875,13.19125,36.54625,69.546,22.317,40.482,52.938,55.2735,65.6535
