MOUSE ID,GGW079,GGW086,GGW087,GGW076,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GHB26,GHB47,GHB82,GHB29,GHB30,GHB33,GHB64,GHB76,GHB77,GHB79,GHB81
SEX,M,M,M,F,M,M,M,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GGW,GGW,GGW,GGW,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB
Parents pair,"19,20","19,20","19,20",18,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","13,14","11,12","19,20","13,14","13,14","13,14","19,20","19,20","19,20",21,21
Litter,1,3,3,1,7,6,2,4,5,7,11,11,11,2,11,7,2,2,2,2,5,5,2,2
main_CorticalSubplate,72.44375,73.74125,68.55125,68.335,89.31125,71.795,80.445,74.39,76.33625,76.5525,79.79625,79.1475,77.20125,106.1355,95.496,93.939,91.863,80.6720625,78.6285,73.74125,97.3125,71.3625,91.6035,98.3505
main_FibreTracts,0.4325,0,0,0.21625,0.64875,0.4325,0.4325,0.21625,0.4325,0.21625,0.4325,0.4325,0.64875,0.64875,0.4325,0.4325,0.21625,0.324375,0.21625,0.21625,0.64875,0.4325,0.4325,0.21625
main_Hippocampus,97.52875,87.58125,76.5525,88.23,108.125,96.4475,97.52875,88.6625,113.7475,103.8,97.3125,105.31375,94.50125,130.788,119.1105,115.737,111.066,89.96,111.3255,103.0215,126.8955,117.5535,128.4525,110.8065
main_Hypothalamus,22.0575,11.89375,5.40625,15.35375,32.87,16.8675,21.84125,10.38,20.97625,19.03,17.94875,12.5425,23.7875,23.246875,17.3865,22.0575,17.646,,8.0445,6.4875,22.641375,19.203,18.02083333,20.76
main_Neocortex,83.68875,79.58,75.6875,80.445,84.55375,82.6075,80.8775,78.93125,90.17625,85.2025,82.39125,85.41875,83.68875,73.525,66.496875,66.496875,60.55,67.88447917,67.39791667,71.3625,70.28125,67.21770833,69.92083333,71.00208333
main_OlfactoryAreas,76.33625,78.06625,73.525,77.20125,91.90625,79.1475,80.22875,72.44375,78.49875,82.39125,85.635,78.93125,81.52625,100.167,78.57083333,88.4895,74.60625,74.17375,72.62395833,65.74,82.35520833,84.72675,92.1225,95.7555
main_Pallidum,8.65,4.97375,,5.40625,19.03,6.70375,7.13625,1.94625,6.055,5.946875,5.40625,7.13625,7.785,,27.89625,8.2175,,4.216875,2.81125,4.97375,6.4875,6.27125,7.13625,7.676875
main_Striatum,64.22625,60.55,50.061875,62.28,71.795,60.9825,63.36125,57.30625,66.82125,61.415,65.3075,62.06375,67.0375,66.6915,60.723,62.35208333,58.3875,51.4675,53.521875,55.50416667,63.97395833,58.128,61.81145833,63.79375
main_Thalamus,57.5225,30.05875,13.19125,36.54625,65.52375,31.78875,50.17,24.00375,56.225,53.84625,47.79125,46.92625,48.0075,77.85,65.6535,65.1345,67.2105,44.76375,47.229,51.381,85.635,61.761,72.4005,72.141
