MOUSE ID,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GGW079,GGW086,GGW087,GGW076,GGW078,GGW092,GGW102,GGW075,GGW098,GGW103
SEX,M,M,M,M,M,M,F,F,F,M,M,M,F,M,M,M,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW
Parents pair,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","19,20","19,20","19,20",18,"19,20","21,22",18,18,"21,22",18
Litter,7,6,2,4,5,7,11,11,11,1,3,3,1,1,1,2,1,1,2
CorticalSubplate_BLAa,10366.69513,8734.420589,8688.159897,7555.092663,8754.768683,8244.507078,8293.87469,8302.981927,10237.23851,11081.63229,7691.307086,6352.740939,8372.220619,13887.70026,11482.7263,12880.67139,11882.91832,12525.74776,16018.53693
CorticalSubplate_BLAp,11678.79593,,9445.271971,7947.561527,,,8989.459405,9572.547523,,,6947.521394,6472.280146,,11165.75648,,,9399.982798,,
CorticalSubplate_BLAv,11207.56573,,8477.409871,7527.935126,,,8867.023452,8294.396461,,,7100.951767,6720.200297,,10304.97288,,,7982.299492,,11541.7023
CorticalSubplate_BMAa,,7017.785356,,,6303.903861,7286.465031,,,7560.917618,8065.355363,,,7076.028035,,5322.888313,10567.65712,,7491.270156,5369.126311
CorticalSubplate_BMAp,9657.616402,7179.785749,8025.225186,6872.8024,7079.999705,7998.145735,8009.811328,6867.564988,7836.682041,8906.333843,6678.951114,5946.625056,6983.630387,12461.28482,9288.442968,10042.01036,10137.2375,10281.28492,13310.4673
CorticalSubplate_EPd,9269.365247,7025.542036,7609.949009,6558.919422,6981.496253,6735.135655,6986.515423,7872.142676,7698.119455,8507.020309,6199.412576,5868.393981,6488.998575,11789.86527,10357.62873,11012.50952,10439.68446,10500.52794,13492.77222
CorticalSubplate_EPv,10112.31684,7160.029995,7574.507818,6895.727948,6965.242272,8529.972661,7196.447906,7966.945169,8103.619927,8769.880296,6061.720499,5948.487155,6801.119517,13404.61828,9123.858239,9983.089338,10593.74846,10321.92543,14541.20888
CorticalSubplate_LA,11753.14922,8966.429644,8864.983874,7738.421699,8764.981001,7977.265168,8396.793231,9777.900568,10079.23482,10862.2371,7230.667138,6713.597383,8146.25885,14051.67865,11249.09097,13227.06684,11934.43979,12596.85261,15570.6657
FibreTracts_alv,5782.152009,3035.245212,5746.97359,4771.488174,5660.094754,5525.260098,5409.979137,5379.368812,5138.551634,5247.072499,4546.677315,2492.809896,4924.294396,6562.650239,5287.31508,5641.603502,5883.723209,5374.792411,5929.305851
FibreTracts_amc,8782.295994,6841.866061,7373.358165,6413.488934,6506.549873,6465.863178,6906.003176,7618.336244,7423.642904,8008.702184,5799.863412,5819.016111,6160.023527,8333.44534,6667.1985,7333.474083,7311.780428,7488.84441,8981.815047
FibreTracts_cc,7070.24515,5735.611312,7031.803676,5352.403088,6139.723126,6266.466151,6342.222057,6396.03973,6289.327755,6147.190093,5085.728136,4751.389426,5519.403178,7445.729603,6179.050402,7103.277945,7082.49189,6685.482758,6786.386172
