MOUSE ID,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GHB26,GHB47,GHB82,GHB29,GHB30,GHB33,GHB64,GHB76,GHB77,GHB79,GHB81,GGW079,GGW086,GGW087,GGW076
SEX,M,M,M,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,F,F,M,M,M,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/wt,het/wt,het/wt,het/wt
COLONY,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GGW,GGW,GGW,GGW
Parents pair,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","13,14","11,12","19,20","13,14","13,14","13,14","19,20","19,20","19,20",21,21,"19,20","19,20","19,20",18
Litter,7,6,2,4,5,7,11,11,11,2,11,7,2,2,2,2,5,5,2,2,1,3,3,1
CorticalSubplate_BLAa,10366.69513,8734.420589,8688.159897,7555.092663,8754.768683,8244.507078,8293.87469,8302.981927,10237.23851,9053.647969,7717.152613,8323.831063,7400.67429,8657.903943,5243.404299,6123.095888,7585.326293,7779.203938,7872.514574,7112.678141,11081.63229,7691.307086,6352.740939,8372.220619
CorticalSubplate_BLAp,11678.79593,,9445.271971,7947.561527,,,8989.459405,9572.547523,,10009.21198,7509.031571,,7590.89186,8955.667598,5565.045829,7096.406226,7566.367803,,8183.279741,7834.225239,,6947.521394,6472.280146,
CorticalSubplate_BLAv,11207.56573,,8477.409871,7527.935126,,,8867.023452,8294.396461,,11217.67226,8103.298326,9512.936297,10713.08693,9056.050027,6383.547531,8289.124207,8436.50692,,9274.880885,9055.407775,,7100.951767,6720.200297,
CorticalSubplate_BMAa,,7017.785356,,,6303.903861,7286.465031,,,7560.917618,,,,,,,,,7559.930906,,,8065.355363,,,7076.028035
CorticalSubplate_BMAp,9657.616402,7179.785749,8025.225186,6872.8024,7079.999705,7998.145735,8009.811328,6867.564988,7836.682041,12383.40819,9420.147265,10328.63083,14180.38243,9990.380033,7352.910137,8475.502796,9386.008965,9045.896067,9789.789891,10021.90617,8906.333843,6678.951114,5946.625056,6983.630387
