MOUSE ID,GGW079,GGW086,GGW087,GGW076,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GHB26,GHB47,GHB82,GHB29,GHB30,GHB33,GHB64,GHB76,GHB77,GHB79,GHB81
SEX,M,M,M,F,M,M,M,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GGW,GGW,GGW,GGW,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB
Parents pair,"19,20","19,20","19,20",18,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","13,14","11,12","19,20","13,14","13,14","13,14","19,20","19,20","19,20",21,21
Litter,1,3,3,1,7,6,2,4,5,7,11,11,11,2,11,7,2,2,2,2,5,5,2,2
main_CorticalSubplate,9710.354199,6958.66442,6156.407283,7479.075622,10677.9074,7579.093508,8430.598029,7355.62756,7575.199003,7613.935578,8325.632222,8459.706531,8715.149342,10264.6681,8115.645082,9258.212983,8259.889415,8780.217248,5804.561734,7746.739519,8397.011397,8442.530173,8728.216233,7743.567633
main_FibreTracts,5210.985583,,,4649.407427,5913.875957,5095.617799,5708.65821,4002.911765,4987.451622,4963.764701,5441.97201,5318.520911,5568.166008,5874.666667,5115.857115,5205.703256,5048.110709,5736.555274,4277.188889,4200.618976,5590.174553,5141.302615,5599.92663,4889.037946
main_Hippocampus,7723.346824,5980.247788,5564.373487,6165.687803,8892.791588,6412.392469,7915.749757,6202.232849,8264.2975,7240.758404,7219.459351,7245.597222,6664.591773,8115.801952,6937.39378,6745.856198,7318.919423,7319.707547,6149.614585,6526.732067,7548.786274,6673.497949,7905.404611,6299.719536
main_Hypothalamus,6433.341943,5284.250243,5187.976675,6107.782818,7033.22976,6255.146763,6279.119436,5719.166042,5785.866146,6238.792242,6686.552784,5796.978128,6482.520688,8772.637238,8020.757621,7939.41363,7990.106502,,5602.95889,5856.683344,8298.001674,8209.83661,7603.772848,7555.441006
main_Neocortex,11019.49027,8522.67957,7653.786377,8958.642829,12597.66529,8986.384199,11592.79157,8887.725402,11143.31902,10466.39913,10400.07674,10703.7429,10109.91571,13165.0136,9508.153244,10643.61819,9904.047723,11768.86152,9465.842613,8765.232949,9724.472738,9177.639516,12418.37917,9950.220279
main_OlfactoryAreas,10128.31344,7027.673555,6351.948669,8360.526367,11074.07072,8737.770273,8309.037894,7632.423724,7639.379643,8800.415308,9021.937307,9192.888489,8868.846902,10486.28783,7221.24158,8571.959329,10666.28712,9063.618668,6126.339016,6653.603885,7807.051329,8540.374273,8736.739537,8209.076467
main_Pallidum,5775.21853,5207.537134,,5482.942721,6319.367678,5558.679191,6156.818636,5337.320107,5416.314301,5495.100984,6353.748286,5844.319476,5768.531545,,7177.875256,5948.71622,,6680.160267,4910.427903,5212.857082,6149.517265,6279.757278,6437.239247,6028.516877
main_Striatum,8956.361613,6465.156329,5678.770721,6988.604248,8958.258951,7030.823645,7747.767168,6576.541269,7161.994473,6895.742783,7542.401282,6885.204901,7950.500788,9487.431922,7297.919614,8133.012379,9088.790206,8246.842269,6223.89691,7294.230036,7609.555995,7593.938482,8086.529197,8226.252669
main_Thalamus,6234.215049,4960.769025,4788.46077,5201.9384,6934.381533,5363.700754,6156.690598,5061.786878,5496.903128,5652.702548,5999.047529,5516.305323,5589.613947,7253.80533,5936.129767,5811.526802,6588.808273,6332.500544,4957.421241,5099.441775,6624.319477,5779.082951,6260.914404,5749.908523
