MOUSE ID,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GGW079,GGW086,GGW087,GGW076,GGW078,GGW092,GGW102,GGW075,GGW098,GGW103
SEX,M,M,M,M,M,M,F,F,F,M,M,M,F,M,M,M,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW
Parents pair,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","19,20","19,20","19,20",18,"19,20","21,22",18,18,"21,22",18
Litter,7,6,2,4,5,7,11,11,11,1,3,3,1,1,1,2,1,1,2
CorticalSubplate_BLAa,0.089412065,0.09197811,0.092021618,0.094551209,0.097648181,0.092923815,0.088844068,0.089284861,0.090071548,0.089906753,0.095211825,0.0977942,0.092898941,0.092333192,0.095619615,0.092293682,0.094314163,0.090750001,0.088055616
CorticalSubplate_BLAp,0.089729071,,0.091199681,0.093767687,,,0.088535064,0.088777612,,,0.100594178,0.098730767,,0.093162753,,,0.093765315,,
CorticalSubplate_BLAv,0.088394047,,0.090768479,0.091121443,,,0.086958198,0.088222774,,,0.09450128,0.092969134,,0.090152539,,,0.090590422,,0.085512
CorticalSubplate_BMAa,,0.089216176,,,0.095007404,0.08685405,,,0.088393698,0.089419059,,,0.087313522,,0.08852106,0.087272815,,0.08513298,0.084887268
CorticalSubplate_BMAp,0.087359474,0.087786779,0.089470786,0.09010484,0.092504113,0.086839674,0.08583863,0.087254695,0.087229917,0.086920106,0.094666535,0.094719466,0.088165941,0.089283813,0.089728949,0.08822602,0.090420702,0.086558664,0.084777894
CorticalSubplate_EPd,0.08525458,0.08584482,0.084923533,0.087202467,0.090765164,0.086181632,0.083498801,0.083876057,0.084438488,0.084547559,0.090882828,0.088881048,0.086529305,0.08588781,0.087877864,0.086138773,0.086389384,0.085159017,0.083096677
CorticalSubplate_EPv,0.086174309,0.087510461,0.085603752,0.088393235,0.092346214,0.087858581,0.083550446,0.083695422,0.086220474,0.086141195,0.092442976,0.093583869,0.088379123,0.089439433,0.091941727,0.087953852,0.087293782,0.08853755,0.085309235
CorticalSubplate_LA,0.087942002,0.090247857,0.088279785,0.089838258,0.094255857,0.090472535,0.085571897,0.086190049,0.08802616,0.087832661,0.09422168,0.092504623,0.091065125,0.088430528,0.093005672,0.089903458,0.089488981,0.087514396,0.085994452
FibreTracts_alv,0.102594192,0.096180438,0.099329096,0.094439367,0.105594957,0.103727761,0.094069139,0.096346034,0.097211763,0.099950668,0.092032716,0.088603621,0.09015938,0.094664817,0.099514396,0.098226153,0.090335645,0.088598485,0.095740913
FibreTracts_amc,0.085766269,0.088224552,0.086817635,0.089109274,0.092687458,0.089551822,0.085136007,0.084994558,0.085604134,0.086518021,0.093946937,0.093098391,0.090238676,0.087194627,0.091361616,0.087813223,0.088412056,0.086165192,0.085430936
FibreTracts_cc,0.09109205,0.090714168,0.091381338,0.08966099,0.092564628,0.089413811,0.086249975,0.088951232,0.087733687,0.090283166,0.090119748,0.08737251,0.088878178,0.090231477,0.090620351,0.088058333,0.08872641,0.086350949,0.088543143
