MOUSE ID,GGW079,GGW086,GGW087,GGW076,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GHB26,GHB47,GHB82,GHB29,GHB30,GHB33,GHB64,GHB76,GHB77,GHB79,GHB81
SEX,M,M,M,F,M,M,M,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GGW,GGW,GGW,GGW,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB
Parents pair,"19,20","19,20","19,20",18,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","13,14","11,12","19,20","13,14","13,14","13,14","19,20","19,20","19,20",21,21
Litter,1,3,3,1,7,6,2,4,5,7,11,11,11,2,11,7,2,2,2,2,5,5,2,2
CorticalSubplate_BLAa,0.089906753,0.095211825,0.0977942,0.092898941,0.089412065,0.09197811,0.092021618,0.094551209,0.097648181,0.092923815,0.088844068,0.089284861,0.090071548,0.089083979,0.089255138,0.090988757,0.087928615,0.09052385,0.09886287,0.097495106,0.093142563,0.09075192,0.088412083,0.091294576
CorticalSubplate_BLAp,,0.100594178,0.098730767,,0.089729071,,0.091199681,0.093767687,,,0.088535064,0.088777612,,0.089128008,0.089732559,,0.088060737,0.089089896,0.099119039,0.098779666,0.093014753,,0.088206194,0.091163382
CorticalSubplate_BLAv,,0.09450128,0.092969134,,0.088394047,,0.090768479,0.091121443,,,0.086958198,0.088222774,,0.08802558,0.089042412,0.0896669,0.086657512,0.089987253,0.097301022,0.096602879,0.091228214,,0.08655502,0.088486159
CorticalSubplate_BMAa,0.089419059,,,0.087313522,,0.089216176,,,0.095007404,0.08685405,,,0.088393698,,,,,,,,,0.087886092,,
CorticalSubplate_BMAp,0.086920106,0.094666535,0.094719466,0.088165941,0.087359474,0.087786779,0.089470786,0.09010484,0.092504113,0.086839674,0.08583863,0.087254695,0.087229917,0.086464493,0.086379513,0.088616968,0.085681837,0.089528185,0.096504585,0.095497327,0.090079895,0.088547077,0.0863579,0.088300733
CorticalSubplate_EPd,0.084547559,0.090882828,0.088881048,0.086529305,0.08525458,0.08584482,0.084923533,0.087202467,0.090765164,0.086181632,0.083498801,0.083876057,0.084438488,0.084283933,0.085615726,0.08576791,0.082933941,0.083981551,0.09235685,0.091574256,0.08765585,0.084123576,0.083227492,0.085599815
CorticalSubplate_EPv,0.086141195,0.092442976,0.093583869,0.088379123,0.086174309,0.087510461,0.085603752,0.088393235,0.092346214,0.087858581,0.083550446,0.083695422,0.086220474,0.083931582,0.085416991,0.084724907,0.084858914,0.084698175,0.094052492,0.092916358,0.087725917,0.087599108,0.084521239,0.085049662
CorticalSubplate_LA,0.087832661,0.09422168,0.092504623,0.091065125,0.087942002,0.090247857,0.088279785,0.089838258,0.094255857,0.090472535,0.085571897,0.086190049,0.08802616,0.086446852,0.086489074,0.088230616,0.084711403,0.087780827,0.095345705,0.09507425,0.090010318,0.089711205,0.086108963,0.087850739
FibreTracts_alv,0.099950668,0.092032716,0.088603621,0.09015938,0.102594192,0.096180438,0.099329096,0.094439367,0.105594957,0.103727761,0.094069139,0.096346034,0.097211763,0.09305673,0.094472701,0.09933254,0.093043704,0.094720118,0.099321194,0.057311513,0.099704168,0.097906599,0.096074939,0.095104197
FibreTracts_amc,0.086518021,0.093946937,0.093098391,0.090238676,0.085766269,0.088224552,0.086817635,0.089109274,0.092687458,0.089551822,0.085136007,0.084994558,0.085604134,0.084510114,0.086810966,0.088841128,0.089582103,0.086534796,0.095975737,0.094537298,0.089553845,0.088851011,0.084908367,0.087136759
FibreTracts_cc,0.090283166,0.090119748,0.08737251,0.088878178,0.09109205,0.090714168,0.091381338,0.08966099,0.092564628,0.089413811,0.086249975,0.088951232,0.087733687,0.090202372,0.089696858,0.091901931,0.091931659,0.089579634,0.093273031,0.092158873,0.091296604,0.091505216,0.087420646,0.09138887
FibreTracts_cing,0.089420839,0.092473731,0.09299356,0.087966295,0.089435943,0.089448242,0.08902757,0.091298967,0.089540992,0.087856806,0.084321868,0.08735651,0.086637109,0.089422208,0.088314093,0.091578762,0.090534169,0.08969068,0.089523801,0.093835688,0.089537298,0.092184408,0.08720638,0.094581797
FibreTracts_cpd,,,,,0.101695368,,0.102669377,,,,0.086712947,0.093545008,,0.091185178,0.08829558,,0.086049647,0.088699337,,,0.102025531,,,0.088946906
FibreTracts_df,0.048209338,,,,0.06768924,0.08919473,0.103598951,,0.044649578,0.067259032,0.086606123,0.091307928,0.090366923,0.029477394,0.089972172,0.0920021,0.088893141,0.098622389,0.081337561,,0.077485426,,0.061362447,
FibreTracts_fi,,,,,0.099012461,,,,0.043837331,,,,,,,,,0.03412334,,,,,,
FibreTracts_int,0.090033207,,,0.074179756,0.093903012,0.088085467,0.090754222,,0.080317319,0.066330478,0.082626473,0.09117003,0.090709036,0.087992711,0.040131954,0.085152125,0.037951278,0.083244981,,,0.093328789,0.0863305,0.088812328,0.050296464
