MOUSE ID,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GGW079,GGW086,GGW087,GGW076,GGW078,GGW092,GGW102,GGW075,GGW098,GGW103
SEX,M,M,M,M,M,M,F,F,F,M,M,M,F,M,M,M,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW,GGW
Parents pair,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","19,20","19,20","19,20",18,"19,20","21,22",18,18,"21,22",18
Litter,7,6,2,4,5,7,11,11,11,1,3,3,1,1,1,2,1,1,2
main_CorticalSubplate,0.087974627,0.08929683,0.089535458,0.090793312,0.094343191,0.089789099,0.086461418,0.087355692,0.087947049,0.087634197,0.094598237,0.093893685,0.089862621,0.08947806,0.091938313,0.089138842,0.090836969,0.08791776,0.086072371
main_FibreTracts,0.092121013,0.088665231,0.09151883,0.077616,0.0901404,0.0860832,0.0848288,0.088341833,0.087416,0.0882,,,0.084672,0.088972729,0.085296098,0.086810182,0.086688,0.0832608,0.089376
main_Hippocampus,0.088269861,0.092604248,0.086938444,0.092243302,0.093545265,0.089630751,0.086837687,0.088444246,0.089900547,0.091833117,0.09221976,0.092374154,0.090520418,0.086454833,0.092071104,0.090258,0.088927263,0.089317921,0.089148019
main_Hypothalamus,0.09213606,0.096280258,0.094984615,0.096522462,0.097727249,0.092781134,0.091060541,0.095293137,0.094698947,0.095472183,0.0994896,0.100640842,0.095539862,0.0950208,0.098477217,0.095036476,0.095716174,0.093670957,0.092449636
main_Neocortex,0.088548442,0.090313307,0.088166717,0.09094199,0.090623745,0.089114667,0.086534298,0.0879648,0.088592,0.089730413,0.09129423,0.090726028,0.089971911,0.088377205,0.090339395,0.088343827,0.088286577,0.088111195,0.088553193
main_OlfactoryAreas,0.087568772,0.088226328,0.088843472,0.090209976,0.093794428,0.087526564,0.085731604,0.086747294,0.087778432,0.088060247,0.093247917,0.092244662,0.088373915,0.08894686,0.09063132,0.088113103,0.090244594,0.088100665,0.08620707
main_Pallidum,0.09602775,0.101186043,0.098619907,0.098784,0.10132416,0.098784,0.095256,0.09702,0.098392,0.098412632,0.102312,,0.100548,0.0937944,0.100955077,0.099372,0.096645204,0.097869333,0.097608
main_Striatum,0.087706269,0.0890085,0.089048136,0.090350547,0.092896364,0.08894931,0.085242182,0.087485021,0.087763675,0.087655731,0.092988,0.09247152,0.089779197,0.087970567,0.090180232,0.087960632,0.08838407,0.086587546,0.085832727
main_Thalamus,0.080618224,0.081669447,0.080231928,0.082026,0.082547474,0.078835556,0.077780093,0.079756584,0.0804384,0.080337148,0.082665882,0.083065188,0.080521412,0.081585,0.084672,0.080880997,0.081362044,0.080150197,0.079107216
