MOUSE ID,GGW079,GGW086,GGW087,GGW076,GHB24,GHB58,GHB62,GHB69,GHB74,GHB83,GHB49,GHB51,GHB52,GHB26,GHB47,GHB82,GHB29,GHB30,GHB33,GHB64,GHB76,GHB77,GHB79,GHB81
SEX,M,M,M,F,M,M,M,M,M,M,F,F,F,M,M,M,F,F,F,F,F,F,F,F
GENOTYPE,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/wt,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom,het/hom
COLONY,GGW,GGW,GGW,GGW,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB,GHB
Parents pair,"19,20","19,20","19,20",18,"11,12","13,14","19,20","19,20","19,20","19,20","11,12","11,12","11,12","13,14","11,12","19,20","13,14","13,14","13,14","19,20","19,20","19,20",21,21
Litter,1,3,3,1,7,6,2,4,5,7,11,11,11,2,11,7,2,2,2,2,5,5,2,2
main_CorticalSubplate,0.087634197,0.094598237,0.093893685,0.089862621,0.087974627,0.08929683,0.089535458,0.090793312,0.094343191,0.089789099,0.086461418,0.087355692,0.087947049,0.087151097,0.087614916,0.089221263,0.08616183,0.088873424,0.096687411,0.095928971,0.090849645,0.08888839,0.08652983,0.08870561
main_FibreTracts,0.0882,,,0.084672,0.092121013,0.088665231,0.09151883,0.077616,0.0901404,0.0860832,0.0848288,0.088341833,0.087416,0.089058162,0.086541485,0.089376,0.087879273,0.088318317,0.084672,0.085910276,0.091728,0.0889056,0.086995317,0.088013558
main_Hippocampus,0.091833117,0.09221976,0.092374154,0.090520418,0.088269861,0.092604248,0.086938444,0.092243302,0.093545265,0.089630751,0.086837687,0.088444246,0.089900547,0.088303765,0.088574578,0.089612565,0.088460025,0.088218139,0.090704951,0.093161856,0.090330369,0.090818706,0.086456512,0.091700196
main_Hypothalamus,0.095472183,0.0994896,0.100640842,0.095539862,0.09213606,0.096280258,0.094984615,0.096522462,0.097727249,0.092781134,0.091060541,0.095293137,0.094698947,0.095071917,0.09433872,0.096350897,0.097000615,,0.101658667,0.105563188,0.096548166,0.095714754,0.093849051,0.094101999
main_Neocortex,0.089730413,0.09129423,0.090726028,0.089971911,0.088548442,0.090313307,0.088166717,0.09094199,0.090623745,0.089114667,0.086534298,0.0879648,0.088592,0.089353895,0.089658947,0.090699376,0.08957694,0.088926436,0.091728,0.093847704,0.091402723,0.090722816,0.087244097,0.091334177
main_OlfactoryAreas,0.088060247,0.093247917,0.092244662,0.088373915,0.087568772,0.088226328,0.088843472,0.090209976,0.093794428,0.087526564,0.085731604,0.086747294,0.087778432,0.08761984,0.088738605,0.088186982,0.085764542,0.088497223,0.096183483,0.096464895,0.08999928,0.086209075,0.085638965,0.087356945
main_Pallidum,0.098412632,0.102312,,0.100548,0.09602775,0.101186043,0.098619907,0.098784,0.10132416,0.098784,0.095256,0.09702,0.098392,,0.08721216,0.099372,,0.103222575,0.10824975,0.108619636,0.0994896,0.098480481,0.0966672,0.098784
main_Striatum,0.087655731,0.092988,0.09247152,0.089779197,0.087706269,0.0890085,0.089048136,0.090350547,0.092896364,0.08894931,0.085242182,0.087485021,0.087763675,0.087036511,0.08822778,0.089639053,0.086022653,0.089594499,0.094969392,0.09536666,0.091020859,0.088912727,0.086442233,0.089167903
main_Thalamus,0.080337148,0.082665882,0.083065188,0.080521412,0.080618224,0.081669447,0.080231928,0.082026,0.082547474,0.078835556,0.077780093,0.079756584,0.0804384,0.0804384,0.078880755,0.079956675,0.081187736,0.081402396,0.080570783,0.086476091,0.079610087,0.078792,0.077117478,0.079414485
